web-scraper-order,web-scraper-start-url,title,price,desc,image-src
"1685006208-1","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Palazzo - Edificio via Ettore Pinelli, Infernetto, Roma","€ 5.900.000","Infernetto vendita Palazzetto Cielo Terra","https://pwm.im-cdn.it/image/817573834/xxs-c.jpg"
"1685006208-2","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Andrea della Corte, Infernetto, Roma","€ 4.250.000","Complesso immobiliare di villette, magazzini e posti auto","https://pwm.im-cdn.it/image/1342505936/xxs-c.jpg"
"1685006208-3","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Senofane, Casal Palocco, Roma","€ 3.400.000","Villa di Design in Vendita a Roma Casal Palocco","https://pwm.im-cdn.it/image/1329753854/xxs-c.jpg"
"1685006208-4","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare 700 m², Axa, Roma","€ 2.150.000","PRESTIGIOSA VILLA 700 MQ CON PARCO PRIVATO E PISCINA",""
"1685006208-5","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Alcmane, Axa, Roma","€ 1.800.000","Villa unifamiliare AXA",""
"1685006208-6","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Mirone 43, Axa, Roma","€ 1.450.000","Esclusiva villa unifamiliare con piscina",""
"1685006208-7","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Alessandro Stradella 153, Infernetto, Roma","€ 1.380.000","INFERNETTO: in Via Alessandro Stradella, imponente villa unifamiliare di circa 700 mq, divisa in tre unità abitative indipendenti, e dependance di circa 50 mq. Il corpo centrale è su tre livelli: al piano terra cinque saloni, sei camere, quattro cucine, otto bagni, ingresso e grande portico. Al primo piano: salone, quattro camere, cucina e due bagni. Nel seminterrato magazzino di circa 100 mq, tre cantine e garage di circa 200 mq. È disponibile anche una dependance di circa 50 mq. Il piano seminterrato è totalmente sbancato e consente una notevole vivibilità e luminosità. Il giardino, di circa 1200 mq, consente ampiamente la realizzazione di una piscina, che godrebbe di luminosità per quasi tutto l’arco solare grazie all’ottima esposizione. Il grande patio, con a lato un angolo cottura di",""
"1685006208-8","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Aristofane, Axa, Roma","€ 1.350.000","Vendita - VIlla Unifamiliare - Axa",""
"1685006208-9","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Erodoto, Casal Palocco, Roma","€ 1.299.000","CASAL PALOCCO – VIA ERODOTO

Proponiamo in vendita una villa unifamiliare di 950mq in una delle vie più esclusive di Casal Palocco.

La villa attualmente è divisa in due unità abitative di circa 450 mq l’una.
Il lotto è di circa 4.000 mq; l’indice di cubatura permette di realizzare altri 450 mq residenziali.
L’acquisto della villa è un ottimo investimento in quanto si possono realizzare fino a 15 appartamenti oppure realizzare la villa dei propri sogni.

PER ULTERIORI INFO CONTATTARE LA NOSTRA AGENZIA.",""
"1685006208-10","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare viale Prassilla, Casal Palocco, Roma","€ 1.160.000","Casalpalocco Centro - Privato vende Villa di 445 Mq. con Dépendence e ampio Giardino con alberi alto fusto e alberi da frutto. Tutti gli ampliamenti (Cucina, Veranda, Mansarda, Taverna e Dépendence) sono dotati di Condono con Concessione in Sanatoria. Presenta Regolarità Urbanistica ed è dotato di Agibilità. Parcheggio per 2/3 auto in giardino e ad esterno cancello.
Tutti gli Impianti (idraulico e termico, gas, Fotovoltaico, elettrico domotico con comando 
da ingresso o da remoto) sono a norma e certificati. C'è un Ascensore. 
Al Piano rialzato troviamo l’ingresso, bagnetto ospiti, studio, ampio salone con Veranda a Sud/Ovest, due cucine con terrazzo coperto abitabile, bagnetto di servizio.
Al primo piano: quattro camere da letto, cameretta, 2 bagni, terrazzo, vano scale da cui si 
accede",""
"1685006208-11","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Francesco Geminiani, Infernetto, Roma","€ 1.150.000","ZONA INFERNETTO CENTRALISSIMO – NO AGENZIE: PRIVATO VENDE IN UNA TRAVERSA DI VIA P. CASTRUCCI, VILLA TRIFAMIGLIARE INTERAMENTE RIVESTITA IN CORTINA CAT. A2, OTTIMO PER FAMIGLIA NUMEROSA, A 200 METRI DALLA STRADA PRINCIPALE DI VIA UMBERTO GIORDANO, DOVE SONO PRESENTI I PRINCIPALI SERVIZI (FARMACIA, BAR TABACCHI, PIZZERIA, PARRUCCHIERE, VETERINARIO, ETC), E DAL SUPERMERCATO. LA VILLA CON DEPENDANCE SI TROVA IN UNA POSIZIONE TRANQUILLA E IN UN CONTESTO SIGNORILE, PARCHEGGI AUTO INTERNI ED ESTERNI. LA STRUTTURA DELLA VILLA CONSENTE OLTRE AD ESSERE ADIBITA COME ABITAZIONE, ANCHE COME UFFICI COMMERCIALI, STUDI MEDICI, DI RAPPRESENTANZA, PALESTRA,ETC.  Gli appartamenti si sviluppano su 3 livelli e con due accessi separati, l’appartamento al piano terra consiste in 104 m2 calpestabili e in 242 m2",""
"1685006208-12","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Licofrone, Casal Palocco, Roma","€ 1.100.000","Villa esclusiva - Casal Palocco – “Piccola Palocco”",""
"1685006208-13","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Aristonida 4, Casal Palocco, Roma","€ 1.090.000","PRESTIGIOSA VILLA UNIFAMILIARE",""
"1685006208-14","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Alcidamante di Elea, Casal Palocco, Roma","€ 978.000","Villa Unifamiliare su due lotti con poss.tà di ampliamento",""
"1685006208-15","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Umberto Giordano, Infernetto, Roma","€ 969.000","Villa a Roma in Via Umberto Giordano, Infernetto",""
"1685006208-16","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Anacreonte 23, Axa, Roma","€ 930.000","ESCLUSIVA VILLA BIFAMILIARE DI ALTO PREGIO ARCHITETTONICO",""
"1685006208-17","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Domenico Alaleona, Infernetto, Roma","€ 899.000","Villa a Roma in Ad.ze Via Alessandro Stradella, Infernetto",""
"1685006208-18","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Ermanno Wolf-Ferrari, Infernetto, Roma","€ 889.000","Villa bifamiliare in via Wolf Ferrari",""
"1685006208-19","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa plurifamiliare via Melanippide 5, Casal Palocco, Roma","€ 880.000","Villa Casal Palocco Via Melanippide",""
"1685006208-20","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa unifamiliare via Luzzasco Luzzaschi, Infernetto, Roma","€ 870.000","VILLA UNIFAMILIARE RIFINITA",""
"1685006208-21","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare viale Tucidide, Casal Palocco, Roma","€ 860.000","CASACATAG IMMOBILIARE PRESENTA:",""
"1685006208-22","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Lisippo, Axa, Roma","€ 859.000€ 989.000(-13,1%)","Via lisippo villa bifamiliare ampia metratura",""
"1685006208-23","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa plurifamiliare via Sofocle, Axa, Roma","€ 849.000","Villa capofila via Sofocle",""
"1685006208-24","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Bacchilide, Axa, Roma","€ 849.000","VILLA BIFAMILIARE LUMINOSA E RISTRUTTURATA",""
"1685006208-25","https://www.immobiliare.it/vendita-case/roma/axa-casal-palocco-infernetto/?criterio=prezzo&ordine=desc","Villa bifamiliare via Partenio di Nicea 39, Casal Palocco, Roma","€ 830.000","Rocchi Immobiliare propone in vendita nel cuore di Casal Palocco, in una via signorile e silenziosa villa Bifamiliare di ampia metratura così divisa: Pt. Salone triplo, cucina abitabile, camera e bagno. Giardino perimetrale di circa 800mq con ampio portico . Piano primo: tre camere e tre bagni. Piano secondo mansardato : grande ambiente finestrato con soffitti alti e terrazzo. Piano s1 con doppio accesso (dalla villa ed esterno) : ampia sala hobby con camino, camera e bagno. Box doppio. Dilazioni e Permute. Rif. 1183

Rocchi Immobiliare offers for sale in the heart of Casal Palocco, in an elegant and quiet street, a large semi-detached villa divided as follows: Pt. Triple living room, kitchen, bedroom and bathroom. Perimeter garden of about 800 square meters with large porch. First floor:",""
